word,en_translation,part_of_speech,difficulty,gender,example_sentence,en_example_sentence
destino,destiny / destination,noun,B1,masculine,El destino nos unió.,Destiny brought us together.
libertad,freedom,noun,B1,feminine,La libertad es un derecho.,Freedom is a right.
fuerza,strength / force,noun,B1,feminine,Necesitas fuerza para seguir.,You need strength to keep going.
miedo,fear,noun,B1,masculine,Tengo miedo de la oscuridad.,I'm afraid of the dark.
esperanza,hope,noun,B1,feminine,La esperanza es lo último que se pierde.,Hope is the last thing you lose.
piel,skin,noun,B1,feminine,Tu piel es suave.,Your skin is soft.
labio,lip,noun,B1,masculine,Sus labios son rojos.,Her lips are red.
cariño,darling / affection,noun,B1,masculine,"Cariño, te necesito.","Darling, I need you."
traición,betrayal,noun,B1,feminine,La traición duele más que la mentira.,Betrayal hurts more than lies.
celos,jealousy,noun,B1,masculine,Los celos destruyen relaciones.,Jealousy destroys relationships.
orgullo,pride,noun,B1,masculine,Siento mucho orgullo por ti.,I feel a lot of pride for you.
novio,boyfriend,noun,B1,masculine,Mi novio es muy cariñoso.,My boyfriend is very affectionate.
novia,girlfriend,noun,B1,feminine,Su novia canta muy bonito.,His girlfriend sings very beautifully.
deseo,desire,noun,B1,masculine,Siento un gran deseo de verte.,I feel a great desire to see you.
pasión,passion,noun,B1,feminine,La pasión se siente en su música.,You can feel the passion in his music.
rabia,rage,noun,B1,feminine,Siento rabia por lo que pasó.,I feel rage about what happened.
venganza,revenge,noun,B1,feminine,La venganza no es la solución.,Revenge is not the solution.
extrañar,to miss (someone),verb,B1,,Te extraño mucho.,I miss you a lot.
olvidar,to forget,verb,B1,,No puedo olvidarte.,I can't forget you.
recordar,to remember,verb,B1,,¿Recuerdas esa noche?,Do you remember that night?
llorar,to cry,verb,B1,,No quiero llorar más.,I don't want to cry anymore.
gritar,to shout / to scream,verb,B1,,No me grites.,Don't shout at me.
pelear,to fight,verb,B1,,No quiero pelear contigo.,I don't want to fight with you.
perder,to lose,verb,B1,,No quiero perder esta oportunidad.,I don't want to lose this opportunity.
ganar,to win / to earn,verb,B1,,Quiero ganar el premio.,I want to win the prize.
soñar,to dream,verb,B1,,Soñé contigo anoche.,I dreamed about you last night.
mentir,to lie,verb,B1,,No me mientas.,Don't lie to me.
confiar,to trust,verb,B1,,Confío en ti.,I trust you.
amar,to love,verb,B1,,Te amo con todo mi corazón.,I love you with all my heart.
odiar,to hate,verb,B1,,Odio las mentiras.,I hate lies.
besar,to kiss,verb,B1,,La besó bajo la lluvia.,He kissed her in the rain.
abrazar,to hug,verb,B1,,Abrázame fuerte.,Hug me tight.
romper,to break,verb,B1,,Se le rompió el corazón.,His heart broke.
brillar,to shine,verb,B1,,Las estrellas brillan en la noche.,The stars shine at night.
quemar,to burn,verb,B1,,El sol quema hoy.,The sun burns today.
perrear,to dance reggaeton,verb,B1,,Vamos a perrear toda la noche.,Let's dance reggaeton all night.
celoso,jealous,adjective,B1,masculine,Estoy celoso de él.,I'm jealous of him.
borracho,drunk,adjective,B1,masculine,"Está borracho, no le hagas caso.","He's drunk, don't pay attention to him."
loco,crazy,adjective,B1,masculine,Estoy loco por ti.,I'm crazy about you.
hermoso,beautiful,adjective,B1,masculine,El paisaje es hermoso.,The landscape is beautiful.
increíble,incredible,adjective,B1,,Fue una experiencia increíble.,It was an incredible experience.
profundo,deep,adjective,B1,masculine,El río es muy profundo.,The river is very deep.
oscuro,dark,adjective,B1,masculine,El cuarto está oscuro.,The room is dark.
dulce,sweet,adjective,B1,,El postre es muy dulce.,The dessert is very sweet.
amargo,bitter,adjective,B1,masculine,El café está amargo.,The coffee is bitter.
gobierno,government,noun,B1,masculine,El gobierno anunció nuevas medidas.,The government announced new measures.
presidente,president,noun,B1,masculine,El presidente habló en la televisión.,The president spoke on television.
elección,election,noun,B1,feminine,Las elecciones son el próximo mes.,The elections are next month.
ley,law,noun,B1,feminine,Aprobaron una nueva ley.,They approved a new law.
economía,economy,noun,B1,feminine,La economía está creciendo.,The economy is growing.
guerra,war,noun,B1,feminine,La guerra destruyó la ciudad.,The war destroyed the city.
paz,peace,noun,B1,feminine,Todos queremos la paz.,We all want peace.
noticia,news (item),noun,B1,feminine,¿Viste las noticias de hoy?,Did you see today's news?
sociedad,society,noun,B1,feminine,La sociedad necesita cambios.,Society needs changes.
derecho,right / law,noun,B1,masculine,Todos tienen derecho a la educación.,Everyone has the right to education.
crisis,crisis,noun,B1,feminine,El país enfrenta una crisis económica.,The country faces an economic crisis.
seguridad,security / safety,noun,B1,feminine,La seguridad es una prioridad.,Security is a priority.
cambio,change,noun,B1,masculine,El cambio climático es un problema global.,Climate change is a global problem.
empresa,company / business,noun,B1,feminine,Trabaja en una empresa de tecnología.,She works at a tech company.
salud,health,noun,B1,feminine,La salud es lo más importante.,Health is the most important thing.
educación,education,noun,B1,feminine,La educación abre muchas puertas.,Education opens many doors.
líder,leader,noun,B1,masculine,El líder del partido habló en la plaza.,The party leader spoke in the plaza.
partido,political party / match,noun,B1,masculine,El partido ganó las elecciones.,The party won the elections.
aeropuerto,airport,noun,B1,masculine,El aeropuerto está lejos del centro.,The airport is far from the center.
vuelo,flight,noun,B1,masculine,Mi vuelo sale a las tres.,My flight leaves at three.
equipaje,luggage / baggage,noun,B1,masculine,¿Dónde puedo recoger mi equipaje?,Where can I pick up my luggage?
pasaporte,passport,noun,B1,masculine,Necesitas tu pasaporte para viajar.,You need your passport to travel.
habitación,room,noun,B1,feminine,La habitación tiene vista al mar.,The room has an ocean view.
reserva,reservation,noun,B1,feminine,Tengo una reserva para dos personas.,I have a reservation for two people.
mapa,map,noun,B1,masculine,¿Tienes un mapa de la ciudad?,Do you have a map of the city?
estación,station / season,noun,B1,feminine,La estación de tren está cerca.,The train station is nearby.
boleto,ticket,noun,B1,masculine,Compré el boleto por internet.,I bought the ticket online.
maleta,suitcase,noun,B1,feminine,Mi maleta es muy pesada.,My suitcase is very heavy.
turista,tourist,noun,B1,,Hay muchos turistas en verano.,There are many tourists in summer.
frontera,border,noun,B1,feminine,Cruzamos la frontera a pie.,We crossed the border on foot.
propina,tip (gratuity),noun,B1,feminine,Dejé una buena propina.,I left a good tip.
menú,menu,noun,B1,masculine,"¿Me trae el menú, por favor?","Can you bring me the menu, please?"
mesero,waiter,noun,B1,masculine,El mesero fue muy amable.,The waiter was very kind.
esquina,corner,noun,B1,feminine,Hay una farmacia en la esquina.,There's a pharmacy on the corner.
iglesia,church,noun,B1,feminine,La iglesia está en la plaza principal.,The church is in the main plaza.
izquierda,left,noun,B1,feminine,Gira a la izquierda en la esquina.,Turn left at the corner.
derecha,right (direction),noun,B1,feminine,El banco está a la derecha.,The bank is on the right.
guía,guide,noun,B1,masculine,El guía nos llevó al museo.,The guide took us to the museum.
tren,train,noun,B1,masculine,El tren sale a las diez.,The train leaves at ten.
autobús,bus,noun,B1,masculine,El autobús tarda una hora.,The bus takes one hour.
metro,subway,noun,B1,masculine,El metro es la forma más rápida.,The subway is the fastest way.
farmacia,pharmacy,noun,B1,feminine,La farmacia está en la esquina.,The pharmacy is on the corner.
hospital,hospital,noun,B1,masculine,El hospital está cerca de aquí.,The hospital is near here.
emergencia,emergency,noun,B1,feminine,Llama al número de emergencia.,Call the emergency number.
policía,police,noun,B1,feminine,La policía llegó rápido.,The police arrived quickly.
médico,doctor,noun,B1,masculine,Necesito ver a un médico.,I need to see a doctor.
efectivo,cash,noun,B1,masculine,"Solo aceptan efectivo, no tarjeta.","They only accept cash, not card."
clima,climate / weather,noun,B1,masculine,El clima aquí es tropical.,The climate here is tropical.
tipo,guy / type,noun,B1,masculine,Ese tipo es muy gracioso.,That guy is very funny.
rato,a while,noun,B1,masculine,"Espera un rato, ya vengo.","Wait a while, I'll be right back."
viajar,to travel,verb,B1,,Me encanta viajar por Latinoamérica.,I love to travel around Latin America.
reservar,to reserve / to book,verb,B1,,Quiero reservar una mesa para cuatro.,I want to book a table for four.
recomendar,to recommend,verb,B1,,¿Me recomiendas un buen restaurante?,Can you recommend a good restaurant?
quedarse,to stay,verb,B1,,Nos quedamos tres noches en el hotel.,We stayed three nights at the hotel.
perderse,to get lost,verb,B1,,Me perdí en el centro de la ciudad.,I got lost in the city center.
preguntar,to ask (a question),verb,B1,,Le pregunté al mesero por el menú.,I asked the waiter for the menu.
intentar,to try / to attempt,verb,B1,,Voy a intentar hablar solo en español.,I'm going to try to speak only in Spanish.
lograr,to achieve / to manage,verb,B1,,Logré terminar el proyecto a tiempo.,I managed to finish the project on time.
parecer,to seem / to appear,verb,B1,,Parece que va a llover.,It seems like it's going to rain.
seguir,to follow / to continue,verb,B1,,Sigue recto y luego gira a la derecha.,Keep going straight and then turn right.
explicar,to explain,verb,B1,,¿Me puedes explicar cómo llegar?,Can you explain how to get there?
decidir,to decide,verb,B1,,Todavía no he decidido qué hacer.,I still haven't decided what to do.
ofrecer,to offer,verb,B1,,Me ofrecieron un buen precio.,They offered me a good price.
cumplir,to fulfill / to turn (age),verb,B1,,Mañana cumplo treinta años.,Tomorrow I turn thirty.
permitir,to allow / to permit,verb,B1,,No permiten fumar aquí.,They don't allow smoking here.
celebrar,to celebrate,verb,B1,,Vamos a celebrar tu cumpleaños.,Let's celebrate your birthday.
disfrutar,to enjoy,verb,B1,,Disfruta cada momento.,Enjoy every moment.
descubrir,to discover,verb,B1,,Descubrimos un restaurante increíble.,We discovered an incredible restaurant.
compartir,to share,verb,B1,,Quiero compartir esto contigo.,I want to share this with you.
mejorar,to improve,verb,B1,,Quiero mejorar mi español.,I want to improve my Spanish.
peligroso,dangerous,adjective,B1,masculine,Esa zona es peligrosa de noche.,That area is dangerous at night.
seguro,safe / sure,adjective,B1,masculine,¿Estás seguro de eso?,Are you sure about that?
extranjero,foreign / foreigner,adjective,B1,masculine,Hay muchos turistas extranjeros.,There are many foreign tourists.
disponible,available,adjective,B1,,¿Hay habitaciones disponibles?,Are there rooms available?
gratis,free (no cost),adjective,B1,,La entrada al museo es gratis.,Admission to the museum is free.
posible,possible,adjective,B1,,¿Es posible cambiar la fecha?,Is it possible to change the date?
siguiente,next / following,adjective,B1,,El siguiente vuelo sale a las cinco.,The next flight leaves at five.
anterior,previous,adjective,B1,,El gobierno anterior no hizo nada.,The previous government did nothing.
propio,own,adjective,B1,masculine,Tengo mi propio negocio.,I have my own business.
pesado,heavy,adjective,B1,masculine,La maleta está pesada.,The suitcase is heavy.
ligero,light (weight),adjective,B1,masculine,Lleva ropa ligera.,Wear light clothing.
genial,great / cool,adjective,B1,,¡Qué genial! Me encanta.,How cool! I love it.
medio ambiente,environment,phrase,B1,,Hay que cuidar el medio ambiente.,We need to take care of the environment.
sin embargo,however / nevertheless,phrase,B1,,"Es caro. Sin embargo, vale la pena.","It's expensive. However, it's worth it."
en realidad,actually / in reality,phrase,B1,,"En realidad, no es tan difícil.","Actually, it's not that difficult."
de repente,suddenly,phrase,B1,,De repente empezó a llover.,Suddenly it started to rain.
a veces,sometimes,phrase,B1,,A veces me siento solo.,Sometimes I feel lonely.
a través de,through / across,phrase,B1,,Caminamos a través del parque.,We walked through the park.
por supuesto,of course,phrase,B1,,Por supuesto que puedes venir.,Of course you can come.
en vez de,instead of,phrase,B1,,"En vez de quejarme, voy a actuar.","Instead of complaining, I'm going to act."
o sea,like / I mean,phrase,B1,,"O sea, no es lo que yo esperaba.","I mean, it's not what I expected."
pues,well / so,adverb,B1,,"Pues, no sé qué decirte.","Well, I don't know what to tell you."
además,besides / moreover,adverb,B1,,"Además, necesitamos más tiempo.","Besides, we need more time."
bastante,quite / enough,adverb,B1,,Es bastante lejos de aquí.,It's quite far from here.
según,according to,preposition,B1,,"Según las noticias, va a nevar.","According to the news, it's going to snow."
